Data_Simulacao,Backlog_Atual,P50_Dias,P85_Dias,P95_Dias
2026-05-18 15:08:56,TIPO: IMP,9,9,9,9
2026-05-18 15:08:57,TIPO: STK,35,16,21,23
2026-05-18 15:08:57,TIPO: RSCH,3,2,3,3
2026-05-18 15:40:51,TIPO: INI,581,161,175,183
2026-05-18 15:40:55,TIPO: EPC,274,128,145,155
2026-05-18 15:40:59,TIPO: UST,586,107,116,121
2026-05-18 15:40:59,TIPO: BUG,19,11,16,18
2026-05-18 15:41:00,TIPO: OPS,95,27,31,33
2026-05-18 15:41:01,TIPO: TST,59,20,25,29
2026-05-18 15:41:01,TIPO: UTSK,3,3,3,3
2026-05-18 15:41:01,TIPO: IMP,9,9,9,9
2026-05-18 15:41:02,TIPO: STK,35,16,21,23
2026-05-18 15:41:02,TIPO: RSCH,3,2,3,3
2026-05-18 15:55:19,TIPO: INI,581,162,175,183
2026-05-18 15:55:24,TIPO: EPC,274,128,144,155
2026-05-18 15:55:29,TIPO: UST,586,107,116,121
2026-05-18 15:55:29,TIPO: BUG,19,11,16,18
2026-05-18 15:55:30,TIPO: OPS,95,27,31,33
2026-05-18 15:55:31,TIPO: TST,59,20,25,29
2026-05-18 15:55:32,TIPO: UTSK,3,3,3,3
2026-05-18 15:55:32,TIPO: IMP,9,9,9,9
2026-05-18 15:55:33,TIPO: STK,35,16,21,24
2026-05-18 15:55:33,TIPO: RSCH,3,2,3,3
2026-05-18 17:02:19,TIPO: INI,581,161,175,184
2026-05-18 17:02:23,TIPO: EPC,274,128,145,154
2026-05-18 17:02:27,TIPO: UST,586,107,116,121
2026-05-18 17:02:27,TIPO: BUG,19,11,16,18
2026-05-18 17:02:28,TIPO: OPS,95,27,31,33
2026-05-18 17:02:29,TIPO: TST,59,20,25,28
2026-05-18 17:02:29,TIPO: UTSK,3,3,3,3
2026-05-18 17:02:29,TIPO: IMP,9,9,9,9
2026-05-18 17:02:30,TIPO: STK,35,16,21,23
2026-05-18 17:02:30,TIPO: RSCH,3,2,3,3
2026-05-18 17:11:50,TIPO: INI,581,162,175,183
2026-05-18 17:11:54,TIPO: EPC,274,128,145,155
2026-05-18 17:11:58,TIPO: UST,586,107,116,121
2026-05-18 17:11:58,TIPO: BUG,19,11,16,18
2026-05-18 17:11:59,TIPO: OPS,95,27,31,33
2026-05-18 17:12:00,TIPO: TST,59,20,25,28
2026-05-18 17:12:00,TIPO: UTSK,3,3,3,3
2026-05-18 17:12:00,TIPO: IMP,9,9,9,9
2026-05-18 17:12:01,TIPO: STK,35,16,21,23
2026-05-18 17:12:01,TIPO: RSCH,3,2,3,3
2026-05-18 17:17:44,TIPO: INI,581,161,175,183
2026-05-18 17:17:49,TIPO: EPC,274,128,145,155
2026-05-18 17:17:53,TIPO: UST,586,107,116,121
2026-05-18 17:17:53,TIPO: BUG,19,11,16,18
2026-05-18 17:17:54,TIPO: OPS,95,27,31,33
2026-05-18 17:17:55,TIPO: TST,59,20,25,29
2026-05-18 17:17:55,TIPO: UTSK,3,3,3,3
2026-05-18 17:17:55,TIPO: IMP,9,9,9,9
2026-05-18 17:17:56,TIPO: STK,35,16,21,23
2026-05-18 17:17:56,TIPO: RSCH,3,2,3,3
2026-05-19 09:45:18,TIPO: INI,581,161,175,183
2026-05-19 09:45:22,TIPO: EPC,274,128,145,155
2026-05-19 09:45:26,TIPO: UST,586,107,116,121
2026-05-19 09:45:26,TIPO: BUG,19,11,16,18
2026-05-19 09:45:27,TIPO: OPS,95,27,31,33
2026-05-19 09:45:28,TIPO: TST,59,20,25,28
2026-05-19 09:45:28,TIPO: UTSK,3,3,3,3
2026-05-19 09:45:28,TIPO: IMP,9,9,9,9
2026-05-19 09:45:29,TIPO: STK,35,16,21,23
2026-05-19 09:45:29,TIPO: RSCH,3,2,3,3
2026-05-19 09:52:37,TIPO: INI,581,161,175,184
2026-05-19 09:52:41,TIPO: EPC,274,128,145,155
2026-05-19 09:52:45,TIPO: UST,586,107,116,121
2026-05-19 09:52:45,TIPO: BUG,19,11,16,18
2026-05-19 09:52:46,TIPO: OPS,95,27,31,33
2026-05-19 09:52:47,TIPO: TST,59,20,25,28
